trade_date,平安银行,贵州茅台,万科A,工商银行,中国石油
2015-01-06,-0.014981273408239737,-0.023158206596879283,-0.036887994634473564,0.007905138339920903,-0.016820857863751093
2015-01-07,-0.019011406844106404,-0.02471819238740336,-0.009052924791086325,-0.0117647058823529,0.05988023952095811
2015-01-08,-0.03359173126614989,-0.006115890950554648,-0.044975404075896064,-0.04166666666666663,-0.014527845036319542
2015-01-09,0.008021390374331583,-0.007561535252398777,-0.010301692420897735,0.010351966873705987,-0.01146601146601156
2015-01-12,-0.020557029177718844,-0.02038778834533128,-0.024535315985130146,-0.012295081967213073,-0.03728251864125942
2015-01-13,-0.0060934326337169775,-0.008314112535536156,-0.003810975609755962,0.0,0.001721170395869276
2015-01-14,0.008855585831062829,-0.009195153613154372,0.002295332823259333,0.014522821576763434,-0.028350515463917536
2015-01-15,0.03646185010128278,0.01577683153182652,0.05114503816793903,0.04089979550102263,0.08664898320070713
2015-01-16,0.0013029315960910726,0.00021497285967653212,-0.01815541031227308,0.011787819253438192,0.02522375915378361
2015-01-19,-0.1001951854261548,-0.05711675890602341,-0.09985207100591709,-0.09902912621359239,-0.09206349206349207
2015-01-20,0.0,0.014816503305220108,0.014790468364831444,0.0,0.03409090909090917
2015-01-21,0.04266088214027475,0.024034141958670263,0.05668016194331993,0.06034482758620685,0.07269653423499567
2015-01-22,-0.00832177531206657,-0.006196534327703618,0.0406130268199234,-0.008130081300813052,-0.004728132387706752
2015-01-23,0.006993006993006867,-0.0011587485515641704,0.025036818851251752,0.020491803278688714,0.0150435471100554
2015-01-26,-0.004166666666666652,0.00983316760578945,-0.015804597701149503,-0.010040160642570406,0.021060842433697324
2015-01-27,-0.02440725244072517,-0.014715536105032845,-0.03795620437956204,-0.030425963488843744,-0.036669213139801426
2015-01-28,0.005003573981415377,-0.014657709177724798,-0.01365705614567525,-0.01882845188284521,-0.028548770816812064
2015-01-29,-0.011379800853485111,-0.007437876824251899,0.0007692307692308553,-0.02771855010660995,-0.022040816326530543
2015-01-30,0.0021582733812948174,0.005847289242123299,0.008455034588777721,-0.004385964912280604,-0.028380634390651083
2015-02-02,-0.02153625269203152,-0.013319787786431947,-0.018292682926829174,-0.028634361233480177,-0.03608247422680411
2015-02-03,0.023477622890682115,0.02030660107539184,0.006211180124223503,0.020408163265306145,0.041889483065953526
2015-02-04,-0.017204301075268713,-0.006279082805404568,-0.012345679012345734,-0.020000000000000018,-0.0239520958083832
2015-02-05,0.005835156819839371,-0.01805359661495054,-0.007812500000000111,-0.0022675736961450532,-0.022787028921998242
2015-02-06,-0.02030456852791873,0.003160011490950687,-0.04251968503936998,-0.022727272727272818,-0.02331838565022415
2015-02-09,0.0007401924500369805,0.05555555555555558,0.00164473684210531,0.0,0.012855831037649201
2015-02-10,0.01849112426035493,-0.007704829083016951,0.019704433497536922,0.013953488372093092,0.018132366273798883
2015-02-11,-0.002904865649963617,0.001476377952756014,-0.0008051529790660261,-0.006880733944954143,-0.006233303650934996
2015-02-12,0.009468317552804084,0.00229320229320229,0.00483481063658342,0.002309468822170757,0.0017921146953405742
2015-02-13,0.006493506493506551,-0.005883314267037032,0.023255813953488413,0.023041474654378113,0.0
2015-02-16,-0.0021505376344085336,0.004493396898460178,-0.00940438871473348,-0.0045045045045045695,-0.009838998211091132
2015-02-17,0.005028735632183867,-0.005946211335988272,0.010284810126582222,0.015837104072398356,0.0009033423667570428
2015-02-25,-0.013581129378127166,0.009548896937767504,-0.028974158183241894,0.0,0.013537906137184086
2015-02-26,0.019565217391304346,0.014568384431397963,0.03629032258064502,0.022271714922048824,0.00979519145146912
2015-02-27,-0.005685856432125047,0.023628375482211972,-0.0077821011673151474,-0.002178649237472685,0.007054673721340388
2015-03-02,0.002859185132237263,-0.001674954200471146,0.0015686274509802978,-0.0021834061135370675,-0.008756567425569184
2015-03-03,-0.03064861012116893,-0.025061605410790166,-0.044635865309318734,-0.03719912472647702,-0.03445229681978801
2015-03-04,-0.0022058823529411686,0.006668459263242887,0.0016393442622952836,-0.00454545454545463,-0.0009149130832570851
2015-03-05,-0.014001473839351464,-0.008921416742347255,-0.026186579378068786,-0.01598173515981738,-0.019230769230769162
2015-03-06,0.004484304932735439,-0.010241483398016449,0.003361344537815114,0.006960556844547661,0.0056022408963585235
2015-03-09,0.05282738095238093,0.043241476963293835,0.023450586264656792,0.041474654377880116,0.011142061281337101
2015-03-10,-0.02685512367491172,-0.01947170599290038,-0.01636661211129309,-0.022123893805309658,-0.011019283746556585
2015-03-11,0.006535947712418277,0.02209444710642594,-0.0074875207986688785,0.009049773755656076,-0.0018570102135561095
2015-03-12,0.05339105339105332,0.004010834461923185,0.0243084660519699,0.024663677130045025,0.026046511627906943
2015-03-13,0.026712328767123372,-0.014734111543450057,0.0008183306055646877,0.0,0.0027198549410698547
2015-03-16,0.028018679119413026,0.020272760781422816,0.021259198691741643,0.006564551422319376,0.012658227848101111
2015-03-17,-0.0006489292667098967,0.01553468208092501,0.011208967173738982,0.006521739130434856,0.025000000000000133
2015-03-18,0.0071428571428571175,0.01361996239264096,0.040380047505938155,0.02159827213822907,0.014808362369338024
2015-03-19,-0.02063185041908444,-0.02090749561293548,-0.020547945205479534,-0.008456659619450302,-0.0008583690987123971
2015-03-20,0.008558262014483287,-0.010907414993854947,0.020979020979021046,0.006396588486140553,0.0034364261168384758
2015-03-23,0.007180156657963455,0.009992234015014256,0.016742770167427645,0.01271186440677985,0.010273972602739878
